countriesAndTerritories,deaths,year,continentExp,Medical_doctors
Afghanistan,1971,2020,Asia,2,538
Albania,1003,2020,Europe,18,754
Argentina,40766,2020,America,40,596
Australia,908,2020,Oceania,41,292
Austria,4400,2020,Europe,52,933
Bangladesh,7052,2020,Asia,6,672
Belgium,17951,2020,Europe,60,789
Bhutan,0,2020,Asia,4,990
Burundi,1,2020,Africa,0,717
Chad,102,2020,Africa,0,611
Chile,15886,2020,America,28,351
Colombia,39053,2020,America,23,270
Czechia,9609,2020,Europe,41,533
Eritrea,0,2020,Africa,0,821
Eswatini,127,2020,Africa,1,422
Ethiopia,1806,2020,Africa,1,059
Gambia,123,2020,Africa,0,823
Georgia,1839,2020,Europe,51,085
Germany,21975,2020,Europe,44,348
Ghana,327,2020,Africa,1,701
Guatemala,4423,2020,America,12,407
Guyana,155,2020,America,14,238
Honduras,2975,2020,America,5,001
Hungary,7130,2020,Europe,60,636
India,143355,2020,Asia,7,352
Indonesia,18819,2020,Asia,6,228
Iraq,12579,2020,Asia,9,663
Ireland,2124,2020,Europe,34,896
Israel,2999,2020,Asia,36,259
Italy,64520,2020,Europe,39,477
Kazakhstan,2552,2020,Asia,40,712
Kuwait,911,2020,Asia,23,416
Latvia,349,2020,Europe,34,047
Lithuania,825,2020,Europe,50,762
Malawi,187,2020,Africa,0,501
Malaysia,415,2020,Asia,22,855
Mauritius,10,2020,Africa,27,127
Montenegro,582,2020,Europe,27,400
Mozambique,142,2020,Africa,0,850
Nepal,1698,2020,Asia,8,516
Netherlands,10034,2020,Europe,40,794
Niger,80,2020,Africa,0,345
Norway,387,2020,Europe,50,470
Oman,1471,2020,Asia,17,738
Paraguay,1953,2020,America,10,515
Philippines,8733,2020,Asia,7,727
Poland,22864,2020,Europe,37,708
Switzerland,5378,2020,Europe,43,804
Thailand,60,2020,Asia,9,499
Togo,66,2020,Africa,0,827
Uganda,221,2020,Africa,1,537
Zimbabwe,307,2020,Africa,1,990
